id;tema;nome;pontos;status;dataBacklog;dataExecucao;dataQA;dataValCliente;dataFinalizado;bloqueadoDesde;motivoBloqueio;ciclosValidacao;dadosProntos
D001;Tecnologia da Informação;Painel de Backlog de TI;2;finalizado;2026-05-29;2026-06-28;2026-06-30;2026-07-01;2026-07-03;;;1;True
D002;Financeiro;Painel de Fluxo de Caixa;2;finalizado;2026-04-22;2026-05-24;2026-05-27;2026-05-28;2026-05-30;;;1;True
D003;Marketing;Painel de Redes Sociais;3;finalizado;2026-03-25;2026-04-06;2026-04-10;2026-04-12;2026-04-18;;;2;True
D004;Comercial;Painel de Funil de Vendas;5;finalizado;2026-05-14;2026-06-04;2026-06-13;2026-06-16;2026-06-20;;;1;True
D005;Jurídico e Compliance;Painel de Normativos;13;finalizado;2026-04-06;2026-05-04;2026-05-26;2026-05-31;2026-06-30;;;2;True
D006;Jurídico e Compliance;Painel de Contratos Vigentes;5;finalizado;2026-03-08;2026-04-01;2026-04-11;2026-04-15;2026-04-22;;;1;True
D007;Financeiro;Painel de Custos por Centro;2;finalizado;2026-06-21;2026-07-04;2026-07-08;2026-07-09;2026-07-13;;;2;True
D008;Recursos Humanos;Painel de Banco de Horas;3;finalizado;2026-06-10;2026-06-27;2026-07-01;2026-07-02;2026-07-11;;;3;True
D009;Marketing;Painel de CAC e LTV;5;finalizado;2026-04-18;2026-05-14;2026-05-24;2026-05-27;2026-06-01;;;1;True
D010;Operações e Logística;Painel de Lead Time de Entrega;1;finalizado;2026-04-03;2026-04-29;2026-05-01;2026-05-02;2026-05-04;;;1;True
D011;Marketing;Painel de E-mail Marketing;1;finalizado;2026-06-03;2026-06-23;2026-06-25;2026-06-26;2026-07-02;;;3;True
D012;Marketing;Painel de Mídia Paga;5;finalizado;2026-06-19;2026-06-30;2026-07-06;2026-07-08;2026-07-13;;;1;True
D013;Jurídico e Compliance;Painel de Contencioso;1;finalizado;2026-05-09;2026-06-12;2026-06-14;2026-06-15;2026-06-17;;;1;True
D014;Financeiro;Painel de Conciliação Bancária;2;finalizado;2026-06-04;2026-06-14;2026-06-17;2026-06-18;2026-06-22;;;2;True
D015;Tecnologia da Informação;Painel de Incidentes;8;finalizado;2026-03-24;2026-04-22;2026-05-02;2026-05-07;2026-05-25;;;3;True
D016;Atendimento ao Cliente;Painel de Reclame Aqui;2;finalizado;2026-06-13;2026-06-30;2026-07-02;2026-07-03;2026-07-07;;;2;True
D017;Tecnologia da Informação;Painel de Segurança;2;finalizado;2026-05-15;2026-06-22;2026-06-25;2026-06-26;2026-06-28;;;1;True
D018;Jurídico e Compliance;Painel de Auditorias;1;finalizado;2026-05-23;2026-06-12;2026-06-14;2026-06-15;2026-06-19;;;2;True
D019;Atendimento ao Cliente;Painel de Volume de Tickets;3;finalizado;2026-05-03;2026-05-28;2026-06-02;2026-06-03;2026-06-06;;;1;True
D020;Atendimento ao Cliente;Painel de Fila em Tempo Real;2;finalizado;2026-02-26;2026-04-08;2026-04-10;2026-04-11;2026-04-17;;;3;True
D021;Atendimento ao Cliente;Painel de NPS;13;finalizado;2026-05-01;2026-05-16;2026-06-07;2026-06-15;2026-07-12;;;3;True
D022;Sustentabilidade (ESG);Painel de Consumo de Água;3;finalizado;2026-05-29;2026-06-22;2026-06-27;2026-06-29;2026-07-03;;;1;True
D023;Suprimentos e Compras;Painel de Curva ABC de Compras;8;finalizado;2026-03-08;2026-04-20;2026-05-07;2026-05-10;2026-05-20;;;2;True
D024;Tecnologia da Informação;Painel de Projetos de TI;2;finalizado;2026-06-28;2026-07-08;2026-07-10;2026-07-11;2026-07-13;;;1;True
D025;Operações e Logística;Painel de Devoluções;3;finalizado;2026-05-13;2026-06-14;2026-06-17;2026-06-18;2026-06-20;;;1;True
D026;Comercial;Painel de Cross-sell;3;finalizado;2026-05-27;2026-06-10;2026-06-13;2026-06-15;2026-06-19;;;1;True
D027;Operações e Logística;Painel de Avarias;3;finalizado;2026-05-14;2026-06-03;2026-06-07;2026-06-09;2026-06-13;;;1;True
D028;Jurídico e Compliance;Painel de Provisões;5;valcliente;2026-02-24;2026-04-07;2026-04-16;2026-04-20;;;;2;True
D029;Operações e Logística;Painel de Estoque;8;valcliente;2026-02-17;2026-04-17;2026-05-03;2026-05-10;;;;1;True
D030;Marketing;Painel de Leads por Origem;2;valcliente;2026-02-23;2026-04-14;2026-04-17;2026-04-18;;;;2;True
D031;Tecnologia da Informação;Painel de Licenças;2;valcliente;2026-02-08;2026-02-23;2026-02-26;2026-02-27;;;;2;True
D032;Marketing;Painel de Tráfego e Conversão;3;valcliente;2026-02-21;2026-04-07;2026-04-13;2026-04-15;;;;1;True
D033;Marketing;Painel de Performance de Campanhas;2;valcliente;2026-02-06;2026-03-06;2026-03-10;2026-03-11;;;;2;True
D034;Sustentabilidade (ESG);Painel de Metas ESG;5;valcliente;2026-02-23;2026-03-09;2026-03-19;2026-03-21;;;;2;True
D035;Marketing;Painel de Eventos;13;valcliente;2026-02-04;2026-02-27;2026-03-16;2026-03-24;;;;1;True
D036;Suprimentos e Compras;Painel de Pedidos em Aberto;13;valcliente;2026-02-09;2026-03-29;2026-04-18;2026-04-26;;;;1;True
D037;Financeiro;Painel de Contas a Receber;3;valcliente;2026-03-08;2026-03-23;2026-03-28;2026-03-30;;;;1;True
D038;Operações e Logística;Painel de Rotas;1;valcliente;2026-02-23;2026-04-24;2026-04-26;2026-04-27;;;;1;True
